公司名称,24-07,24-08,24-09,24-10,24-11,24-12,25-01,25-02,25-03,25-04,25-05,25-06
Huawei,1,1,1,1,1,1,1,1,1,1,1,1
Alibaba,2,2,2,2,2,2,2,2,2,2,2,2
Ant group,3,3,3,3,3,3,3,3,3,3,3,3
Baidu,4,4,4,4,4,4,4,4,4,4,5,5
DaoCloud,5,6,6,7,7,8,9,11,11,12,13,14
Others,6,5,5,5,5,5,5,6,6,6,6,6
ByteDance,7,7,7,6,6,6,6,5,5,5,4,4
Tencent,8,9,9,10,10,7,8,8,8,8,8,8
ESPRESSIF,9,8,8,8,8,9,7,7,7,7,7,7
Fit2Cloud,10,10,10,9,9,10,11,10,10,10,10,10
PingCAP,11,11,11,11,11,11,10,9,9,9,9,9
openKylin,12,12,13,13,12,13,14,14,13,13,14,12
Zilliz,13,13,12,12,13,12,12,12,12,11,11,11
StarRocks,14,14,14,14,14,14,13,15,14,14,12,13
Deepin,15,15,15,15,15,15,15,,,,,15
LobeHub,,,,,,,,13,15,15,15,
