公司名称,16,17,18,19,20,21,22,23,24,25
Alibaba,1,1,1,1,1,2,2,2,2,2
Baidu,2,3,3,3,3,3,3,3,4,4
Ant group,3,2,2,2,2,4,4,4,3,3
Bilibili,4,8,,,,,,,,
Alluxio,5,9,14,,,,,,,
Juejin,6,7,7,14,,,,,,
PingCAP,7,5,5,5,6,6,6,7,10,8
Xiaomi,8,11,9,10,,,,,,
Linux China,9,12,15,,,,,,,
ThinkPHP,10,,,,,,,,,
Oushu,11,,,,,,,,,
360,12,10,13,,,,,,,
Tencent,13,4,4,4,5,5,5,5,8,7
VMWare,14,13,,12,14,,,,,
Deepin,15,,,13,,,,14,14,15
ESPRESSIF,,6,6,6,7,7,7,8,7,6
Youzan,,14,8,9,10,,,,,
Huawei,,15,11,8,4,1,1,1,1,1
Meituan,,,10,,,,,,,
JD,,,12,7,8,15,,,,
Didi,,,,11,,,,,,
StreamNative,,,,15,15,11,,,,
WeBank,,,,,9,,,,,
SphereEx,,,,,11,13,15,,,
Fit2Cloud,,,,,12,8,9,9,9,9
QingCloud,,,,,13,10,11,,,
ByteDance,,,,,,9,8,6,5,5
EMQ,,,,,,12,13,13,15,
Zilliz,,,,,,14,12,12,12,10
StarRocks,,,,,,,10,10,13,13
TAOS Data,,,,,,,14,,,
openKylin,,,,,,,,11,11,12
DaoCloud,,,,,,,,15,6,11
LobeHub,,,,,,,,,,14
