full_name,category_l1,category_l2,or_12m_avg,or_momentum,months_count
elastic/kibana,DATA INFRASTRUCTURE,Monitoring Dashboard,653.262217203776,0.03316370084847226,12.0
vllm-project/vllm,ML/AI PLATFORM,LLMOps,595.7093098958334,0.13978666464329456,12.0
grafana/grafana,DATA INFRASTRUCTURE,Monitoring Dashboard,495.51953125,-0.09358906896851096,12.0
langgenius/dify,ML/AI PLATFORM,LLMOps,417.35302734375,-0.12335529202521603,12.0
ClickHouse/ClickHouse,STORAGE SYSTEMS,Real-time OLAP Engine,382.19447072347003,-0.06610704406309686,12.0
elastic/elasticsearch,STORAGE SYSTEMS,Search Engine,346.38688405354816,-0.03841119553483802,12.0
kubernetes/kubernetes,DATA INFRASTRUCTURE,Resource Scheduling,315.1672058105469,-0.15917971946066053,12.0
apache/doris,STORAGE SYSTEMS,Real-time OLAP Engine,291.037846883138,-0.06477109797267563,12.0
ceph/ceph,DATA LAKE PLATFORM,Distributed Object Store,283.39885965983075,0.03843144704627482,12.0
apache/airflow,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,280.19011306762695,0.1735424302768785,12.0
metabase/metabase,ANALYTICS & VISUALISATION,BI & Dashboard,238.12428029378256,0.023372003650217233,12.0
ray-project/ray,DATA PROCESSING AND COMPUTATION,Python Workflow Scaling,233.1440684000651,0.20746023504861058,12.0
cockroachdb/cockroach,STORAGE SYSTEMS,Distributed SQL DBMS,210.53794479370117,-0.05546357370691437,12.0
airbytehq/airbyte,DATA INTEGRATION,Data Integration Platform,209.7490259806315,-0.26862809765353757,12.0
StarRocks/StarRocks,STORAGE SYSTEMS,Real-time OLAP Engine,209.618771870931,-0.10201497402819744,12.0
apache/spark,DATA PROCESSING AND COMPUTATION,Unified Processing,191.82519149780273,-0.15849385069868036,12.0
supabase/supabase,STORAGE SYSTEMS,Relational DBMS,185.89450454711914,-0.07508028237862033,12.0
apache/kafka,DATA INTEGRATION,CDC Tool,172.99740346272787,-0.1290977580349334,12.0
dagster-io/dagster,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,165.61079088846842,-0.15518567534055808,12.0
yugabyte/yugabyte-db,STORAGE SYSTEMS,Distributed SQL DBMS,155.76229985555014,-0.10598112531944588,12.0
pingcap/tidb,STORAGE SYSTEMS,Distributed SQL DBMS,152.95892969767252,-0.028229525480727612,12.0
