org_login,org_or_12m_sum
apache,39246.40882527828
elastic,12241.772562026978
grafana,7230.147354125977
vllm-project,7148.51171875
langgenius,5008.236328125
ClickHouse,4586.333648681641
kubernetes,3782.0064697265625
ceph,3400.7863159179688
metabase,2857.4913635253906
ray-project,2797.7288208007812
cockroachdb,2526.455337524414
airbytehq,2516.988311767578
StarRocks,2515.425262451172
supabase,2230.7340545654297
dagster-io,1987.329490661621
yugabyte,1869.1475982666016
pingcap,1835.5071563720703
milvus-io,1820.6189498901367
scylladb,1747.6749267578125
pola-rs,1738.3925399780273
trinodb,1667.9619979858398
redpanda-data,1588.410343170166
opensearch-project,1469.7788619995117
duckdb,1421.0653553009033
open-metadata,1390.657829284668
prestodb,1334.5174560546875
taosdata,1280.0712814331055
datahub-project,1214.519432067871
streamlit,1161.962501525879
delta-io,1155.6555712223053
mlflow,1130.8296966552734
neondatabase,1052.1611976623535
influxdata,1035.4413681030273
risingwavelabs,992.5256652832031
PrefectHQ,968.7630386352539
kestra-io,931.873462677002
rapidsai,895.1146392822266
weaviate,868.6700286865234
chroma-core,805.09716796875
MaterializeInc,802.7565155029297
valkey-io,797.333984375
prometheus,795.215160369873
MariaDB,785.5016326904297
ravendb,762.7236633300781
lancedb,762.489803314209
vectordotdev,736.3968811035156
fluent,733.712239742279
temporalio,721.5150833129883
qdrant,687.7081985473633
lightdash,680.8457679748535
TobikoData,665.4976921081543
skypilot-org,640.7790260314941
vespa-engine,632.6326637268066
surrealdb,625.5197525024414
dlt-hub,615.5523147583008
pydantic,604.8677444458008
,573.8518824577332
cube-js,572.2386016845703
argoproj,567.7551460266113
Eventual-Inc,547.902099609375
timescale,537.3742980957031
apple,533.9810409545898
etcd-io,532.7531623840332
treeverse,524.2505722045898
dragonflydb,522.004581451416
GreptimeTeam,518.5282440185547
questdb,493.58980560302734
crate,490.03396797180176
flyteorg,487.47110748291016
windmill-labs,474.35414123535156
juicedata,472.7275733947754
great-expectations,458.32445335388184
facebook,450.93767739087343
dbt-labs,450.1283302307129
feldera,449.9733085632324
mckinsey,396.44736671447754
paradedb,394.23548686504364
redis,394.09222984313965
rudderlabs,393.0312614440918
iterative,391.9617338180542
deepset-ai,381.2756938934326
tikv,376.4373950958252
arangodb,370.15469551086426
kedro-org,368.2106018066406
minio,365.8763179779053
Netflix,363.8437075614929
debezium,358.4406032562256
confluentinc,339.62530851364136
OpenLineage,339.33108139038086
ibis-project,338.13854026794434
cloudera,330.005895614624
determined-ai,310.60934484004974
PeerDB-io,302.21455001831055
unitycatalog,302.1108965873718
meilisearch,300.9045009613037
dolthub,293.1424083709717
AutoMQ,278.66827964782715
sqlalchemy,260.3311405181885
slatedb,256.2307548522949
mage-ai,253.66156578063965
citusdata,253.63067245483398
DataLinkDC,250.38015365600586
linkedin,248.96704652905464
topoteretes,236.39638423919678
evidence-dev,230.80478513240814
celery,229.50833129882812
quickwit-oss,225.67090320587158
alibaba,218.6306529045105
ckan,213.23461246490479
marqo-ai,199.96928882598877
dask,196.70830059051514
spiraldb,189.48676013946533
elementary-data,177.3320550918579
opencost,174.57142162322998
plotly,173.00186824798584
estuary,172.36248302459717
lakekeeper,171.62282371520996
bentoml,171.0939507484436
cloudquery,168.66400527954102
edgedb,163.86932945251465
superduper-io,150.5995683670044
vdaas,149.15044498443604
airtai,143.1042537689209
readysettech,139.97447967529297
EventStore,138.84775924682617
ByConity,138.7885656952858
FerretDB,133.2741894721985
pachyderm,131.98078505694866
slingdata-io,128.9767608642578
warpstreamlabs,128.83141422271729
Multiwoven,126.51330208778381
getredash,125.97353029251099
pgvector,124.4677062034607
unionai-oss,122.04178714752197
gluster,120.89354658126831
ipython,120.43226265907288
infinyon,112.16359186172485
oceanbase,110.11210894584656
git-lfs,106.79903221130371
sodadata,99.39803171157837
FalkorDB,97.02467632293701
projectnessie,94.6996545791626
activeloopai,94.41396927833557
neo4j,91.03250217437744
meltano,89.2383542060852
ArroyoSystems,87.32585573196411
jitsucom,84.84474182128906
uber,82.6889762878418
MonetDB,82.44920611381531
timeplus-io,81.78464007377625
postgres,79.46956443786621
Mooncake-Labs,76.45123839378357
artie-labs,73.1670331954956
MarquezProject,71.67786586284637
orientechnologies,71.45394372940063
jupyter,69.54658126831055
krb5,66.58807897567749
modin-project,65.05082154273987
JanusGraph,61.396077394485474
dgraph-io,60.99562120437622
bruin-data,58.99005675315857
Alluxio,57.198700815439224
vesoft-inc,55.72310209274292
akka,55.469295024871826
CrunchyData,54.894367933273315
chdb-io,51.99454188346863
pinterest,49.952181816101074
memcached,49.53505206108093
m3db,49.13160514831543
GlareDB,47.150912046432495
kubeflow,45.376131534576416
turbot,44.229469299316406
odpi,35.60217523574829
awslabs,34.89903998374939
mysql,34.15717172622681
spotify,32.797516882419586
distribworks,26.046076118946075
bytewax,24.782074362039566
codenotary,24.14944899082184
amundsen-io,22.498157516121864
rethinkdb,19.873178958892822
google,17.517980873584747
nsqio,16.655571222305298
mljar,16.598171770572662
vaexio,15.11999922990799
opendatadiscovery,14.727245688438416
zabbix,13.002498209476471
hydradatabase,9.320488929748535
quarylabs,8.302851423621178
mongodb,8.077423751354218
statsd,7.344252854585648
datafold,4.718566119670868
snowplow,4.4266771376132965
jina-ai,4.2214155197143555
OpenTSDB,3.6108219772577286
azkaban,3.380468115210533
microsoft,1.9402451515197754
getdozer,1.1199242919683456
cayleygraph,0.7490081489086151
basho,0.6573680341243744
kairosdb,0.399820476770401
