full_name,org_login,repo_name,category_l1,category_l2,months_count,or_12m_avg,or_recent3,or_prev9,or_momentum
elastic/kibana,elastic,elastic/kibana,DATA INFRASTRUCTURE,Monitoring Dashboard,12.0,653.262217203776,669.3770548502604,647.8906046549479,0.03316370084847226
vllm-project/vllm,vllm-project,vllm-project/vllm,ML/AI PLATFORM,LLMOps,12.0,595.7093098958334,656.0546061197916,575.5942111545139,0.13978666464329456
grafana/grafana,grafana,grafana/grafana,DATA INFRASTRUCTURE,Monitoring Dashboard,12.0,495.51953125,459.9048360188802,507.3910963270399,-0.09358906896851096
langgenius/dify,langgenius,langgenius/dify,ML/AI PLATFORM,LLMOps,12.0,417.35302734375,377.5123596191406,430.6332499186198,-0.12335529202521603
ClickHouse/ClickHouse,ClickHouse,ClickHouse/ClickHouse,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,382.19447072347003,362.9267272949219,388.61705186631946,-0.06610704406309686
elastic/elasticsearch,elastic,elastic/elasticsearch,STORAGE SYSTEMS,Search Engine,12.0,346.38688405354816,336.311279296875,349.7454189724392,-0.03841119553483802
kubernetes/kubernetes,kubernetes,kubernetes/kubernetes,DATA INFRASTRUCTURE,Resource Scheduling,12.0,315.1672058105469,275.9816487630208,328.22905815972223,-0.15917971946066053
apache/doris,apache,apache/doris,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,291.037846883138,276.66701253255206,295.828125,-0.06477109797267563
ceph/ceph,ceph,ceph/ceph,DATA LAKE PLATFORM,Distributed Object Store,12.0,283.39885965983075,291.4896952311198,280.70191446940106,0.03843144704627482
apache/airflow,apache,apache/airflow,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,280.19011306762695,315.14234415690106,268.53936937120227,0.1735424302768785
metabase/metabase,metabase,metabase/metabase,ANALYTICS & VISUALISATION,BI & Dashboard,12.0,238.12428029378256,242.27411397298178,236.74100240071616,0.023372003650217233
ray-project/ray,ray-project,ray-project/ray,DATA PROCESSING AND COMPUTATION,Python Workflow Scaling,12.0,233.1440684000651,267.6314697265625,221.6482679578993,0.20746023504861058
cockroachdb/cockroach,cockroachdb,cockroachdb/cockroach,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,210.53794479370117,201.65691121419272,213.49828932020398,-0.05546357370691437
airbytehq/airbyte,airbytehq,airbytehq/airbyte,DATA INTEGRATION,Data Integration Platform,12.0,209.7490259806315,164.4484100341797,224.84923129611545,-0.26862809765353757
StarRocks/StarRocks,StarRocks,StarRocks/starrocks,STORAGE SYSTEMS,Real-time OLAP Engine,12.0,209.618771870931,193.1608428955078,215.10474819607205,-0.10201497402819744
apache/spark,apache,apache/spark,DATA PROCESSING AND COMPUTATION,Unified Processing,12.0,191.82519149780273,168.08207194010416,199.73956468370227,-0.15849385069868036
supabase/supabase,supabase,supabase/supabase,STORAGE SYSTEMS,Relational DBMS,12.0,185.89450454711914,175.22650655110678,189.45050387912326,-0.07508028237862033
apache/kafka,apache,apache/kafka,DATA INTEGRATION,CDC Tool,12.0,172.99740346272787,155.68858846028647,178.76700846354166,-0.1290977580349334
dagster-io/dagster,dagster-io,dagster-io/dagster,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,165.61079088846842,145.55747731526694,172.29522874620227,-0.15518567534055808
yugabyte/yugabyte-db,yugabyte,yugabyte/yugabyte-db,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,155.76229985555014,143.04443868001303,160.0015869140625,-0.10598112531944588
pingcap/tidb,pingcap,pingcap/tidb,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,152.95892969767252,149.69744364420572,154.04609171549478,-0.028229525480727612
