full_name,dbms_name,slug,date,score
activeloopai/deeplake,Deep Lake,Deep+Lake,2024-10,0.304
activeloopai/deeplake,Deep Lake,Deep+Lake,2024-11,0.307
activeloopai/deeplake,Deep Lake,Deep+Lake,2024-12,0.313
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-01,0.327
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-02,0.325
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-03,0.36
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-04,0.383
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-05,0.406
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-06,0.412
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-07,0.402
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-08,0.441
activeloopai/deeplake,Deep Lake,Deep+Lake,2025-09,0.506
apache/accumulo,Apache Accumulo,Apache+Accumulo,2024-10,3.312
apache/accumulo,Apache Accumulo,Apache+Accumulo,2024-11,3.081
apache/accumulo,Apache Accumulo,Apache+Accumulo,2024-12,2.934
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-01,2.785
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-02,2.62
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-03,2.432
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-04,2.451
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-05,2.22
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-06,2.168
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-07,2.206
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-08,2.284
apache/accumulo,Apache Accumulo,Apache+Accumulo,2025-09,2.551
apache/cassandra,Apache Cassandra,Apache+Cassandra,2024-10,97.608
apache/cassandra,Apache Cassandra,Apache+Cassandra,2024-11,97.713
apache/cassandra,Apache Cassandra,Apache+Cassandra,2024-12,97.936
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-01,99.193
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-02,102.582
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-03,106.654
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-04,108.207
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-05,108.054
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-06,108.271
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-07,108.757
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-08,108.512
apache/cassandra,Apache Cassandra,Apache+Cassandra,2025-09,106.981
apache/couchdb,CouchDB,CouchDB,2024-10,7.534
apache/couchdb,CouchDB,CouchDB,2024-11,7.64
apache/couchdb,CouchDB,CouchDB,2024-12,7.7
apache/couchdb,CouchDB,CouchDB,2025-01,7.78
apache/couchdb,CouchDB,CouchDB,2025-02,7.812
apache/couchdb,CouchDB,CouchDB,2025-03,7.342
apache/couchdb,CouchDB,CouchDB,2025-04,7.168
apache/couchdb,CouchDB,CouchDB,2025-05,6.596
apache/couchdb,CouchDB,CouchDB,2025-06,6.774
apache/couchdb,CouchDB,CouchDB,2025-07,7.121
apache/couchdb,CouchDB,CouchDB,2025-08,6.812
apache/couchdb,CouchDB,CouchDB,2025-09,6.553
apache/doris,Apache Doris,Apache+Doris,2024-10,0.577
apache/doris,Apache Doris,Apache+Doris,2024-11,0.527
apache/doris,Apache Doris,Apache+Doris,2024-12,0.484
apache/doris,Apache Doris,Apache+Doris,2025-01,0.446
apache/doris,Apache Doris,Apache+Doris,2025-02,0.443
apache/doris,Apache Doris,Apache+Doris,2025-03,0.46
apache/doris,Apache Doris,Apache+Doris,2025-04,0.515
apache/doris,Apache Doris,Apache+Doris,2025-05,0.509
apache/doris,Apache Doris,Apache+Doris,2025-06,0.484
apache/doris,Apache Doris,Apache+Doris,2025-07,0.565
apache/doris,Apache Doris,Apache+Doris,2025-08,0.508
apache/doris,Apache Doris,Apache+Doris,2025-09,0.495
apache/druid,Apache Druid,Apache+Druid,2024-10,2.792
apache/druid,Apache Druid,Apache+Druid,2024-11,2.701
apache/druid,Apache Druid,Apache+Druid,2024-12,2.876
apache/druid,Apache Druid,Apache+Druid,2025-01,2.917
apache/druid,Apache Druid,Apache+Druid,2025-02,2.86
apache/druid,Apache Druid,Apache+Druid,2025-03,2.789
apache/druid,Apache Druid,Apache+Druid,2025-04,3.047
apache/druid,Apache Druid,Apache+Druid,2025-05,3.176
apache/druid,Apache Druid,Apache+Druid,2025-06,3.396
apache/druid,Apache Druid,Apache+Druid,2025-07,3.531
apache/druid,Apache Druid,Apache+Druid,2025-08,3.486
apache/druid,Apache Druid,Apache+Druid,2025-09,3.776
apache/flink,Apache Flink,Apache+Flink,2024-10,10.925
apache/flink,Apache Flink,Apache+Flink,2024-11,9.904
