name,logo,category,subcategory,2025_value
PyTorch3D,logos/88318438fc9c2bbc4989daf11182ed9ec9e685c4f9f97317d978d87f732f9e96.svg,Modeling,3D,71.86
Captum,logos/2abc1fc7558376c329b2798f7bcde761b3644e8805d84dc631370e0e76d75b8d.svg,Modeling,Adversarial & Robustness,90.99
Albumentations,logos/9c283e8d47d4c3f87139e047313bbb92c6f038a28d7d1ceea7378542b33b9dd5.svg,Modeling,Computer Vision,120.87
Anomalib,logos/79211c70ad6c0b096a678d6642e449e908438c6ba9ea651323b55b258a1a99ac.svg,Modeling,Computer Vision,209.13
docTR,logos/a5efec22de5026d7c71d2362aeb47644c441dbba07d1789c133662174fc29bed.svg,Modeling,Computer Vision,105.85
Kornia,logos/68d50512b8d058f5ae4c92b0fdb1a54132e0b208cb573c1b84bb19e7a2cabd4c.svg,Modeling,Computer Vision,90.86
Lightly,logos/5135c80fa8aeb01b5a93eb51f1c869d3e920e89759d25f423e0edb513df1fd02.svg,Modeling,Computer Vision,103.28
torchvision,logos/9ff7056ade10c260a38e00e6558cd1aa7df99d29fd0013f96f82a62911a3214d.svg,Modeling,Computer Vision,162.15
Flair,logos/79bb5140f6e438d44b09dbd2bde4ba675f11bb1e19b84e74b0ada9b16c0b034a.svg,Modeling,Language,96.76
LitGPT,logos/b2ba043924146d3a43af1b5b5101e584498f8972c9da8c4a55823a471cd6f083.svg,Modeling,Language,175.36
OpenCompass,logos/7a70f2cbec75cbed6adfa360674d53e5fd6536ee1b342b52588a3dbd35ef8860.svg,Modeling,Language,389.94
torchtune,logos/7f10d287eb2505f4fc6f304b503a2e3c15e2ff47957af2ff4d973ccd0be77e03.svg,Modeling,Language,607.42
Transformers,logos/22ee2a64b64ec10d3f8665a2c99fe71389da44d177ce9688632c462e8627224b.svg,Modeling,Language,4044.95
Clinica DL,logos/0e35348df86096d30232c0f852e0821acb387f280097ad52f6b298ee03147ee8.svg,Modeling,Medical & Biology,50.31
GaNDLF,logos/2c684fbc52871399018ed1bbd4eb4558cf380b37f789128ab453063f072a1377.svg,Modeling,Medical & Biology,56
TIAToolbox,logos/ba4859ff6d65b65bc3b5e1a48fdffcb34c3d0ff8435c11eb1f1aac0120c1224d.svg,Modeling,Medical & Biology,108.77
TorchIO,logos/3f53485d82e837e49ad8c2f5b2ca860ac321809c9d7a50f6f4029c49911a158f.svg,Modeling,Medical & Biology,57.21
NeMo,logos/28338dbf8ea96d2f14e1e737ecab8f55ada4616e445a10a89f0cb2c019ee8f14.svg,Modeling,Multimodal,2187.9
PennyLane,logos/2d8e7a169283e296f1d72aad881717481147608ecb440ecb9b92b3c078ce197f.svg,Modeling,Quantum,977.35
torchrl,logos/cc5b16f93d0b7d3bf4a6b344866b3b8fe640572305e2a3fd480e47549919b7f3.svg,Modeling,Reinforcement Learning,268.59
DGL,logos/8bc26a2c13a583b1695caeee24b08ead02adb0d16645e0d2763ea37305fae388.svg,Modeling,Specialized,119.29
Diffusers,logos/ffc8bf3d4d9c6e89044e907ea8b49195426ef764da054041f80845be8605c48e.svg,Modeling,Specialized,1686.33
PyPOTS,logos/9b443ae59bd33bdee86bbe1d3190c727ce938845d8696ac8e76bd7c662c822a2.svg,Modeling,Specialized,52.71
torchaudio,logos/7f67b89853f34181d3e3278e5419b73ceb170a05044b0bb652b64e48d5e2d885.svg,Modeling,Specialized,52.5
torchgeo,logos/0f021d5c7b0d805439d23e941b0a743d16b7cf89fa11b5cc9c19a53d44549420.svg,Modeling,Specialized,214.1
torchrec,logos/5012b5119ea4d72dd56bdbc3d1f6d7568b18c6a7351d770b8399fde3af419316.svg,Modeling,Specialized,334.29
FlagGems,logos/f7f629dc2dd6256293cd30adcbff542181c51b11a495a1f15e9cfa0bb49db042.svg,Optimizations,Compilers & Runtimes,407.26
intel-extension-for-pytorch,logos/149058a8b3c96359ac2f000c8958b4899897602728d52d917f9335d1e0273617.svg,Optimizations,Compilers & Runtimes,120.96
ONNX runtime,logos/a2ab7ad7ece050a1a7e0e667813b6992c1abc606d2112dd11c8c84836b5ba522.svg,Optimizations,Compilers & Runtimes,2438.28
PyTorchXLA,logos/ddd0bb26a66bfbab3bcc2e87525da660424ba839e2e4ed1086c4988ca452b036.svg,Optimizations,Compilers & Runtimes,627.41
Torch-TensorRT,logos/07dbeb39c385db2b246f1fb02d2534f65455facf03f6249afc3eaf34baaddfc1.svg,Optimizations,Compilers & Runtimes,360.02
ivy,logos/4ac7177a12ab6aa7b56c2420367cbe3b6e1be0de2f9753d69198f5ca9a7731bb.svg,Optimizations,General,59.75
