name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url,2025_value
accelerate,Hugging Face,https://huggingface.co/docs/accelerate/index,logos/f975c8a171af33d268543e8ec85de06980f3ddc7069f82db0645d075285c4b1d.svg,https://x.com/huggingface,https://www.crunchbase.com/organization/hugging-face,395200000.0,Premier,member,,Apache License 2.0,"Brooklyn, New York, United States",Accelerate is a library that enables the same PyTorch code to be run across distributed configurations,"Hugging Face allows users to build, train, and deploy art models using the reference open source in machine learning.",https://huggingface.co,Brooklyn,New York,United States,https://x.com/huggingface,https://www.linkedin.com/company/huggingface,,funding,51.0,100.0,Optimizations,MLOps,True,https://github.com/huggingface/accelerate,9147.0,"🚀 A simple way to launch, train, and use PyTorch models on almost any device and distributed configuration, automatic mixed precision (including fp8), and easy-to-configure FSDP and DeepSpeed support",2025-09-19,https://github.com/huggingface/accelerate/commit/14383311c22bfa9c67714ec481e94ceec62e6c86,2025-08-25,https://github.com/huggingface/accelerate/releases/tag/v1.10.1,2020-10-30,https://github.com/huggingface/accelerate/commit/f88703334062f2dee4dfb7a1281e4febe76632cb,368.0,https://github.com/huggingface/accelerate/graphs/contributors,,,,,,,,,,,,,354.83000000000004
AdaptDL,Petuum,https://adaptdl.readthedocs.io/en/latest/,logos/532512bdae901d661538ee38bb165d61918199ab2ba8f4d4cf0fddb2ed742647.svg,https://twitter.com/PetuumInc,https://www.crunchbase.com/organization/petuum,108000000.0,,archived,,Apache License 2.0,"Pittsburgh, Pennsylvania, United States","AdaptDL is a resource-adaptive deep learning (DL) training and scheduling framework, and is part of the CASL open source project.","Petuum, Inc. is building a platform that serves the full spectrum of Artificial Intelligence",http://www.petuum.com/,Pittsburgh,Pennsylvania,United States,https://twitter.com/PetuumInc,https://www.linkedin.com/company/petuum,,funding,11.0,50.0,Training,General,True,https://github.com/petuum/adaptdl,446.0,Resource-adaptive cluster scheduler for deep learning training.,2023-01-06,https://github.com/petuum/adaptdl/commit/542e123e50e98e4a7a7132d36c4af06c9437f6e4,2022-04-20,https://github.com/petuum/adaptdl/releases/tag/v0.2.11,2020-08-23,https://github.com/petuum/adaptdl/commit/97612509d6127b3822953d07da6f865fbb844a84,15.0,https://github.com/petuum/adaptdl/graphs/contributors,,,,,,,,,,,,,
Advanced Micro Devices (AMD) (member),AMD,https://amd.com/,logos/a155e962235fb1568eff855126eee1bff85acc1ebd55e6170b8f1abe68873b8d.svg,https://twitter.com/AMD,https://www.crunchbase.com/organization/amd,,Premier,member,,,"Santa Clara, California, United States","For more than 45 years AMD has driven innovation in high-performance computing, graphics, and visualization technologies; the building blocks for gaming, immersive platforms, and the data center. Hundreds of millions of consumers, leading Fortune 500 businesses, and cutting-edge scientific research facilities around the world rely on AMD technology daily to improve how they live, work, and play. AMD employees around the world are focused on building great products that push the boundaries of what is possible.","Advanced Micro Devices is a semiconductor company that designs and develops graphics units, processors, and media solutions.",http://www.amd.com,Santa Clara,California,United States,https://www.twitter.com/amd,https://www.linkedin.com/company/amd,AMD,,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
AdverTorch,Ecopia AI,https://advertorch.readthedocs.io/en/latest/,logos/eec3e6838be8fa53a5d16513a8d774a10163c261bbef2fbb1172f7f33954dfd9.svg,https://twitter.com/EcopiaAI,https://www.crunchbase.com/organization/ecopia-tech-corporation,1805678.0,,archived,,GNU Lesser General Public License v3.0,"Toronto, Ontario, Canada",A Toolbox for Adversarial Robustness Research,Ecopia.AI is an Artificial Intelligence company that specializes in extracting insight from geospatial big data.,https://www.ecopiatech.com,Toronto,Ontario,Canada,https://twitter.com/EcopiaAI,https://www.linkedin.com/company/ecopia-ai,,funding,11.0,50.0,Modeling,Adversarial & Robustness,True,https://github.com/BorealisAI/advertorch,1352.0,A Toolbox for Adversarial Robustness Research,2022-05-29,https://github.com/BorealisAI/advertorch/commit/e063e341c87d9a621ae1a8f72c3507d5ea5bd327,,,2018-11-29,https://github.com/BorealisAI/advertorch/commit/24a9dfdf75c207c57be5d43434df9f20556b6dd9,21.0,https://github.com/BorealisAI/advertorch/graphs/contributors,,,,,,,,,,,,,0.1
Albumentations,Albumentations,https://albumentations.ai/docs/,logos/9c283e8d47d4c3f87139e047313bbb92c6f038a28d7d1ceea7378542b33b9dd5.svg,https://twitter.com/albumentations,https://www.crunchbase.com/organization/albumentations,,,,,MIT License,"San Francisco, California, United States",a Python library for image augmentation used in deep learning and computer vision tasks to increase the quality of trained models. The purpose of image augmentation is to create new training samples from the existing data.,"Albumentations: A fast, comprehensive image augmentation library for enhancing machine learning models in computer vision.",https://albumentations.ai/,San Francisco,California,United States,https://twitter.com/albumentations,https://www.linkedin.com/company/100504475,,,1.0,10.0,Modeling,Computer Vision,True,https://github.com/albumentations-team/albumentations,15152.0,Fast and flexible image augmentation library. Paper about the library: https://www.mdpi.com/2078-2489/11/2/125,2025-06-25,https://github.com/albumentations-team/albumentations/commit/66212d77a44927a29d6a0e81621d3c27afbd929c,2025-05-27,https://github.com/albumentations-team/albumentations/releases/tag/2.0.8,2018-06-06,https://github.com/albumentations-team/albumentations/commit/0070e48ebceb832ef29afa55d005d0fd4962c518,172.0,https://github.com/albumentations-team/albumentations/graphs/contributors,,,,,,,,,,,,,120.86999999999999
AllenNLP,Allen Institute for Artificial Intelligence,https://allenai.org/allennlp,logos/43d3a869c90be770813540f0fd05114f0250a9fb796e52ed7f7ceb33772ad2ef.svg,https://www.twitter.com/allen_ai,https://www.crunchbase.com/organization/allen-institute-for-artificial-intelligence,,,archived,,Apache License 2.0,"Seattle, Washington, United States","An NLP research library, built on PyTorch, for developing state-of-the-art deep learning models on a wide variety of linguistic tasks.",Allen Institute for Artificial Intelligence (AI2) is an artificial intelligence research institute and start-up incubator.,http://allenai.org,Seattle,Washington,United States,https://www.twitter.com/allen_ai,http://www.linkedin.com/company/allen-institute-for-artificial-intelligence,,,251.0,500.0,Modeling,Language,True,https://github.com/allenai/allennlp,11878.0,"An open-source NLP research library, built on PyTorch.",2022-11-22,https://github.com/allenai/allennlp/commit/80fb6061e568cb9d6ab5d45b661e86eb61b92c82,2022-10-18,https://github.com/allenai/allennlp/releases/tag/v2.10.1,2017-05-15,https://github.com/allenai/allennlp/commit/f7473cd21e218307a958be83662cb7df8c415d2e,267.0,https://github.com/allenai/allennlp/graphs/contributors,,,,,,,,,,,,,
"Amazon Web Services, Inc. (member)",Amazon Web Services,https://amazon.com/,logos/c8a0921ed6f0f0d24c5d52e08ab3d3d294718d9222aca46248a6bd509ba9a2ea.svg,https://twitter.com/amazon,https://www.crunchbase.com/organization/amazon-web-services,,Premier,member,,,"Seattle, Washington, United States","Amazon.com, Inc. is an online retailer, offering new, refurbished and used products including books, DVDs, CDs, MP3 downloads, software, video games, electronics, furniture, apparel, jewelry, and toys. The company also manufactures consumer electronics (notably the Amazon Kindle and the Kindle Fire) and provides cloud computing services. Amazon is a publicly owned company and is based out of Seattle, WA.",Amazon Web Services provides information technology infrastructure services to businesses in the form of web services.,http://aws.amazon.com,Seattle,Washington,United States,https://x.com/awscloud,https://www.linkedin.com/company/amazon-web-services,,,10001.0,,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
Anomalib,Intel,https://anomalib.readthedocs.io/en/latest/,logos/79211c70ad6c0b096a678d6642e449e908438c6ba9ea651323b55b258a1a99ac.svg,https://x.com/intel,https://www.crunchbase.com/organization/intel,29967510008.0,Premier,member,,Apache License 2.0,"Santa Clara, California, United States","An anomaly detection library comprising state-of-the-art algorithms and features such as experiment management, hyper-parameter optimization, and edge inference.","Intel designs, manufactures and sells computer components and related products for business and consumer markets.",http://www.intel.com,Santa Clara,California,United States,https://x.com/intel,https://www.linkedin.com/company/intel-corporation,INTC,funding,10001.0,,Modeling,Computer Vision,True,https://github.com/open-edge-platform/anomalib,4971.0,"An anomaly detection library comprising state-of-the-art algorithms and features such as experiment management, hyper-parameter optimization, and edge inference.",2025-09-16,https://github.com/open-edge-platform/anomalib/commit/28815db444f293f6a2b2828bac689aeea467b1bb,2025-08-01,https://github.com/open-edge-platform/anomalib/releases/tag/v2.1.0,2021-11-26,https://github.com/open-edge-platform/anomalib/commit/cba7d2802195f14098cef3f8c1b91690f9d02e23,95.0,https://github.com/openvinotoolkit/anomalib/graphs/contributors,,,,,,,,,,,,,209.12999999999997
Arm Limited (member),Arm Holdings,https://arm.com/,logos/60444c3f48e049cce219ca668c1e6ae77ad4de0394af9e2fe7611407e8d59f72.svg,https://twitter.com/ArmCommunity,https://www.crunchbase.com/organization/arm,,Premier,member,,,"Cambridge, Cambridgeshire, United Kingdom","ARM Ltd. is a British semiconductor and software design company. The company develops microprocessors based on reduced instruction set computing that is licensed by more than 250 computer chip manufacturers. They serve a wide range of industries including automotive, healthcare, infrastructure, IoT, mobile, smart homes, and wearables. ARM has sold 1,379 licenses to more than 450 partners. The company was founded in 1990 and is headquartered in the UK.","Arm Holdings is a multinational semiconductor company that designs, produces, and licenses IP for digital electronic product development.",http://www.arm.com,Cambridge,Cambridgeshire,United Kingdom,https://www.twitter.com/Arm,http://www.linkedin.com/company/arm,ARM,,5001.0,10000.0,PyTorch Members,Premier,,,,,,,,,,,,,,,,,,,,,,,,,
avalanche,ContinualAI,http://avalanche.continualai.org/,logos/6db724b646af4bb6a96bf1e939a4018ee5f01db33e92af69a611275266ba90f5.svg,https://twitter.com/ContinualAI,https://www.crunchbase.com/organization/continualai,,,,,MIT License,"Bologna, Emilia-Romagna, Italy","Avalanche is an End-to-End Continual Learning Library based on PyTorch, for fast prototyping, training, and reproducible evaluation of continual learning algorithms.",ContinualAI is a research company.,https://www.continualai.org/,Bologna,Emilia-Romagna,Italy,https://twitter.com/ContinualAI,https://www.linkedin.com/company/continual-ai/,,,101.0,250.0,Training,Continuous Learning,True,https://github.com/ContinualAI/avalanche,1957.0,Avalanche: an End-to-End Library for Continual Learning based on PyTorch.,2025-03-11,https://github.com/ContinualAI/avalanche/commit/eb075be393e1f458b2c352514ff6c17b5a2c0f4e,2024-10-29,https://github.com/ContinualAI/avalanche/releases/tag/v0.6.0,2020-03-05,https://github.com/ContinualAI/avalanche/commit/38fdd87b2393446da62eadb4f6a196528215602e,87.0,https://github.com/ContinualAI/avalanche/graphs/contributors,,,,,,,,,,,,,15.44
baal,Element AI,https://baal.readthedocs.io/,logos/e52fe477062933115c9eee93722f40f2dba311e6935fb12b5bf490fc94c26eb5.svg,https://twitter.com/element_ai,https://www.crunchbase.com/organization/element-ai,257483994.0,,,,Apache License 2.0,"Montréal, Quebec, Canada",Baal is a Bayesian active learning library. Provides methods to do posterior distribution sampling in order to maximize the efficiency of labelling during active learning. Our library is suitable for research and industrial applications.,Element AI is an artificial intelligence company that gives organizations access to technology.,http://www.elementai.com,Montréal,Quebec,Canada,https://twitter.com/element_ai,https://www.linkedin.com/company/elementai,,funding,251.0,500.0,Training,Probabilistic & Optimization,True,https://github.com/baal-org/baal,905.0,Bayesian active learning library for research and industrial usecases.,2025-06-24,https://github.com/baal-org/baal/commit/0e7e0c3dafbd0287bb7624850083be8a59230568,2025-06-24,https://github.com/baal-org/baal/releases/tag/v2.1.0,2019-09-30,https://github.com/baal-org/baal/commit/badc6ecd7fdac0f4c370c126b1745cf335ac93f6,23.0,https://github.com/baal-org/baal/graphs/contributors,,,,,,,,,,,,,0.91
Beijing Academy of Artificial Intelligence aka Zhiyuan Institute (member),BAAI,https://baai.ac.cn/,logos/6c3bbb6342b2899c01d18bc69b2af1f237788ccd66c84701fcf3c93f7f5d6353.svg,https://twitter.com/BAAIBeijing,https://www.crunchbase.com/organization/baai,,Associate,member,,,"Beijing, Beijing, China","Established in November 2018 in Beijing, China, the Beijing Academy of Artificial Intelligence (BAAI) is a non-profit research institute dedicated to promoting collaboration among academia and industries, as well as fostering top talents and a focus on lo",Beijing Academy of Artificial Intelligence is a non-profit research institute,https://www.baai.ac.cn,Beijing,Beijing,China,https://twitter.com/BAAIBeijing,https://www.linkedin.com/company/beijingbaai/,,,101.0,250.0,PyTorch Members,Associate,,,,,,,,,,,,,,,,,,,,,,,,,
