full_name,category_l1,category_l2,months_count,or_12m_avg,exclude_reason
windmill-labs/windmill,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,39.52951176961263,avg_le_50
juicedata/juicefs,DATA LAKE PLATFORM,Distributed File System,12.0,39.39396444956461,avg_le_50
influxdata/influxdb,STORAGE SYSTEMS,Time-Series Database,12.0,38.33753522237142,avg_le_50
great-expectations/great_expectations,WORKFLOW MANAGEMENT & DATAOPS,Data Quality,12.0,38.19370444615682,avg_le_50
dbt-labs/dbt-core,WORKFLOW MANAGEMENT & DATAOPS,Data Modeling,12.0,37.51069418589274,avg_le_50
feldera/feldera,DATA PROCESSING AND COMPUTATION,Unified Processing,12.0,37.4977757136027,avg_le_50
lancedb/lance,DATA LAKE PLATFORM,Serialisation Framework,12.0,36.886164824167885,avg_le_50
apache/iceberg-python,DATA LAKE PLATFORM,Native Open Table Format Library,12.0,36.17950280507406,avg_le_50
facebook/rocksdb,STORAGE SYSTEMS,Embedded Key-value Store,12.0,36.001705487569176,avg_le_50
tobymao/sqlglot,DATA PROCESSING AND COMPUTATION,SQL Toolkit,12.0,35.970546086629234,avg_le_50
apache/rocketmq,DATA INTEGRATION,Event Hub,12.0,35.38509861628214,avg_le_50
apache/dolphinscheduler,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,34.94065284729004,avg_le_50
mckinsey/vizro,BI as Code (Web App),,12.0,33.037280559539795,avg_le_50
redis/redis,STORAGE SYSTEMS,Cache Store,12.0,32.84101915359497,avg_le_50
edgedb/edgedb,STORAGE SYSTEMS,NoSQL Multi-model,5.0,32.77386589050293,avg_le_50
rudderlabs/rudder-server,DATA INTEGRATION,CDC Tool,12.0,32.75260512034098,avg_le_50
apache/ignite,STORAGE SYSTEMS,In-memory SQL Database,12.0,32.29218943913778,avg_le_50
deepset-ai/haystack,ML/AI PLATFORM,LLMOps,12.0,31.772974491119385,avg_le_50
tikv/tikv,STORAGE SYSTEMS,Distributed Key-value Store,12.0,31.3697829246521,avg_le_50
arangodb/arangodb,STORAGE SYSTEMS,NoSQL Multi-model,12.0,30.846224625905354,avg_le_50
kedro-org/kedro,ML/AI PLATFORM,MLOps,12.0,30.68421681722005,avg_le_50
minio/minio,DATA LAKE PLATFORM,Distributed Object Store,12.0,30.48969316482544,avg_le_50
debezium/debezium,DATA INTEGRATION,CDC Tool,12.0,29.87005027135213,avg_le_50
paradedb/paradedb,STORAGE SYSTEMS,Search Engine,12.0,29.717753887176514,avg_le_50
apache/opendal,BI as Code (Web App),Semantic & Middleware Layer,12.0,28.793816884358723,avg_le_50
OpenLineage/OpenLineage,METADATA MANAGEMENT,Open Standards,12.0,28.27759011586507,avg_le_50
ibis-project/ibis,DATA PROCESSING AND COMPUTATION,Python Processing Framework,12.0,28.17821168899536,avg_le_50
apache/Inlong,DATA INTEGRATION,Data Integration Platform,12.0,27.829639593760174,avg_le_50
cloudera/hue,BI as Code (Web App),Query & Collaboration,12.0,27.50049130121867,avg_le_50
alibaba/fluss,STORAGE SYSTEMS,Streaming Database,8.0,27.328831613063812,avg_le_50
apache/amoro,DATA LAKE PLATFORM,Universal Lakehouse,12.0,26.69572941462199,avg_le_50
lancedb/lancedb,ML/AI PLATFORM,Vector Storage,12.0,26.65465211868286,avg_le_50
apache/flink-cdc,DATA INTEGRATION,CDC Tool,12.0,25.95905526479085,avg_le_50
determined-ai/determined,ML/AI PLATFORM,MLOps,12.0,25.884112070004146,avg_le_50
PeerDB-io/peerdb,DATA INTEGRATION,CDC Tool,12.0,25.18454583485921,avg_le_50
unitycatalog/unitycatalog,METADATA MANAGEMENT,Schema & Catalog Service,12.0,25.17590804894765,avg_le_50
Netflix/metaflow,ML/AI PLATFORM,MLOps,12.0,25.14373795191447,avg_le_50
meilisearch/meilisearch,STORAGE SYSTEMS,Search Engine,12.0,25.075375080108643,avg_le_50
iterative/datachain,WORKFLOW MANAGEMENT & DATAOPS,Data Versioning,12.0,25.008485635121662,avg_le_50
dolthub/dolt,WORKFLOW MANAGEMENT & DATAOPS,Data Versioning,12.0,24.428534030914307,avg_le_50
spiraldb/vortex,DATA LAKE PLATFORM,Serialisation Framework,8.0,23.685845017433167,avg_le_50
apache/accumulo,STORAGE SYSTEMS,Wide-column Key-value Store,12.0,23.593237082163494,avg_le_50
AutoMQ/automq,DATA INTEGRATION,Event Hub,12.0,23.222356637318928,avg_le_50
EventStore/EventStore,STORAGE SYSTEMS,Streaming Database,6.0,23.141293207804363,avg_le_50
delta-io/delta-rs,DATA LAKE PLATFORM,Native Open Table Format Library,12.0,22.026032368342083,avg_le_50
sqlalchemy/sqlalchemy,DATA PROCESSING AND COMPUTATION,SQL Toolkit,12.0,21.69426170984904,avg_le_50
slatedb/slatedb,STORAGE SYSTEMS,In-process OLAP Engine,12.0,21.35256290435791,avg_le_50
mage-ai/mage-ai,WORKFLOW MANAGEMENT & DATAOPS,Workflow Orchestration,12.0,21.138463815053303,avg_le_50
citusdata/citus,STORAGE SYSTEMS,Distributed SQL DBMS,12.0,21.135889371236164,avg_le_50
apache/kvrocks,STORAGE SYSTEMS,Distributed Key-value Store,12.0,21.126343250274658,avg_le_50
DataLinkDC/dinky,DATA PROCESSING AND COMPUTATION,Unified Processing,12.0,20.865012804667156,avg_le_50
linkedin/openhouse,DATA LAKE PLATFORM,Open Table Format,12.0,20.7201566696167,avg_le_50
elastic/logstash,DATA INFRASTRUCTURE,Log & Metrics Pipeline,12.0,20.49861224492391,avg_le_50
airtai/faststream,DATA PROCESSING AND COMPUTATION,Stream Processing,7.0,20.443464824131556,avg_le_50
topoteretes/cognee,ML/AI PLATFORM,LLMOps,12.0,19.69969868659973,avg_le_50
duckdb/pg_duckdb,STORAGE SYSTEMS,OLAP Extensions,12.0,19.690981070200603,avg_le_50
evidence-dev/evidence,BI as Code (Web App),,12.0,19.233732094367344,avg_le_50
redpanda-data/connect,DATA INTEGRATION,CDC Tool,12.0,19.16567866007487,avg_le_50
celery/celery,WORKFLOW MANAGEMENT & DATAOPS,Job Scheduling,12.0,19.125694274902344,avg_le_50
redpanda-data/console,DATA INFRASTRUCTURE,Monitoring Dashboard,12.0,19.114815711975098,avg_le_50
quickwit-oss/quickwit,STORAGE SYSTEMS,Search Engine,12.0,18.8059086004893,avg_le_50
apache/couchdb,STORAGE SYSTEMS,Document Store,12.0,18.692283312479656,avg_le_50
ckan/ckan,METADATA MANAGEMENT,Metadata Platform,12.0,17.769551038742065,avg_le_50
confluentinc/schema-registry,METADATA MANAGEMENT,Schema & Catalog Service,12.0,17.467061678568523,avg_le_50
marqo-ai/marqo,ML/AI PLATFORM,Vector Storage,12.0,16.66410740216573,avg_le_50
dask/dask,DATA PROCESSING AND COMPUTATION,Python Workflow Scaling,12.0,16.392358382542927,avg_le_50
lakekeeper/lakekeeper,METADATA MANAGEMENT,Schema & Catalog Service,11.0,15.602074883200906,avg_le_50
elementary-data/elementary,WORKFLOW MANAGEMENT & DATAOPS,Pipeline Observability,12.0,14.777671257654825,avg_le_50
opencost/opencost,DATA INFRASTRUCTURE,Cost Management,12.0,14.547618468602499,avg_le_50
plotly/dash,BI as Code (Web App),,12.0,14.41682235399882,avg_le_50
estuary/flow,DATA INTEGRATION,Data Integration Platform,12.0,14.363540252049765,avg_le_50
bentoml/BentoML,ML/AI PLATFORM,MLOps,12.0,14.257829229036966,avg_le_50
cloudquery/cloudquery,DATA INTEGRATION,Log & Event Collection,12.0,14.055333773295084,avg_le_50
pachyderm/pachyderm,ML/AI PLATFORM,MLOps,10.0,13.198078505694866,avg_le_50
ByConity/ByConity,STORAGE SYSTEMS,Columnar OLAP Database,11.0,12.617142335935073,avg_le_50
superduper-io/superduper,ML/AI PLATFORM,LLMOps,12.0,12.5499640305837,avg_le_50
vdaas/vald,ML/AI PLATFORM,Vector Storage,12.0,12.429203748703003,avg_le_50
apache/ambari,DATA INFRASTRUCTURE,Cluster Administration,12.0,12.011212746302286,avg_le_50
readysettech/readyset,STORAGE SYSTEMS,In-memory SQL Database,12.0,11.66453997294108,avg_le_50
FerretDB/FerretDB,STORAGE SYSTEMS,Document Store,12.0,11.10618245601654,avg_le_50
confluentinc/ksql,STORAGE SYSTEMS,Streaming Database,12.0,10.835047364234924,avg_le_50
slingdata-io/sling-cli,DATA INTEGRATION,Data Migration,12.0,10.748063405354818,avg_le_50
warpstreamlabs/bento,DATA PROCESSING AND COMPUTATION,Stream Processing,12.0,10.73595118522644,avg_le_50
apache/ranger,DATA INFRASTRUCTURE,Security,12.0,10.728512048721313,avg_le_50
Multiwoven/multiwoven,DATA INTEGRATION,Reverse ETL,12.0,10.542775173981985,avg_le_50
getredash/redash,ANALYTICS & VISUALISATION,BI & Dashboard,12.0,10.497794191042582,avg_le_50
dgraph-io/dgraph,STORAGE SYSTEMS,Graph Database,4.0,10.459531784057617,avg_le_50
pgvector/pgvector,ML/AI PLATFORM,Vector Storage,12.0,10.372308850288391,avg_le_50
unionai-oss/pandera,WORKFLOW MANAGEMENT & DATAOPS,Data Quality,12.0,10.170148928960165,avg_le_50
gluster/glusterfs,DATA LAKE PLATFORM,Distributed File System,12.0,10.074462215105692,avg_le_50
apache/helix,DATA INFRASTRUCTURE,Cluster Administration,12.0,10.06433935960134,avg_le_50
ipython/ipython,BI as Code (Web App),Query & Collaboration,12.0,10.036021888256073,avg_le_50
apache/incubator-xtable,DATA LAKE PLATFORM,Universal Lakehouse,12.0,9.551816622416178,avg_le_50
apache/gobblin,DATA INTEGRATION,Data Integration Platform,12.0,9.510478218396505,avg_le_50
apache/zeppelin,BI as Code (Web App),Query & Collaboration,12.0,9.35123324394226,avg_le_50
infinyon/fluvio,DATA PROCESSING AND COMPUTATION,Stream Processing,12.0,9.346965988477072,avg_le_50
apache/knox,DATA INFRASTRUCTURE,Security,12.0,9.345891952514648,avg_le_50
