month,full_name_lc,full_name,dbms_name,openrank,popularity
2024-10-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,12.973800659179688,0.304
2024-11-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,12.33685302734375,0.307
2024-12-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,9.804609298706056,0.313
2025-01-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,9.45195770263672,0.327
2025-02-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,9.3523530960083,0.325
2025-03-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,9.57774543762207,0.36
2025-04-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,5.3983154296875,0.383
2025-05-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,4.021633148193359,0.406
2025-06-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,3.312541246414185,0.412
2025-07-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,2.446216583251953,0.402
2025-08-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,1.5058526992797852,0.441
2025-09-01,activeloopai/deeplake,activeloopai/deeplake,Deep Lake,2.0820298194885254,0.506
2024-10-01,apache/accumulo,apache/accumulo,Apache Accumulo,25.478883743286133,3.312
2024-11-01,apache/accumulo,apache/accumulo,Apache Accumulo,23.74968719482422,3.081
2024-12-01,apache/accumulo,apache/accumulo,Apache Accumulo,20.82707977294922,2.934
2025-01-01,apache/accumulo,apache/accumulo,Apache Accumulo,25.03933334350586,2.785
2025-02-01,apache/accumulo,apache/accumulo,Apache Accumulo,22.46586799621582,2.62
2025-03-01,apache/accumulo,apache/accumulo,Apache Accumulo,25.351985931396484,2.432
2025-04-01,apache/accumulo,apache/accumulo,Apache Accumulo,24.79206085205078,2.451
2025-05-01,apache/accumulo,apache/accumulo,Apache Accumulo,24.66826438903809,2.22
2025-06-01,apache/accumulo,apache/accumulo,Apache Accumulo,23.37416076660156,2.168
2025-07-01,apache/accumulo,apache/accumulo,Apache Accumulo,22.287464141845703,2.206
2025-08-01,apache/accumulo,apache/accumulo,Apache Accumulo,22.044050216674805,2.284
2025-09-01,apache/accumulo,apache/accumulo,Apache Accumulo,22.19327163696289,2.551
2024-10-01,apache/cassandra,apache/cassandra,Apache Cassandra,45.454856872558594,97.608
2024-11-01,apache/cassandra,apache/cassandra,Apache Cassandra,45.88516998291016,97.713
2024-12-01,apache/cassandra,apache/cassandra,Apache Cassandra,40.60020065307617,97.936
2025-01-01,apache/cassandra,apache/cassandra,Apache Cassandra,46.20135498046875,99.193
2025-02-01,apache/cassandra,apache/cassandra,Apache Cassandra,41.26237869262695,102.582
2025-03-01,apache/cassandra,apache/cassandra,Apache Cassandra,44.305137634277344,106.654
2025-04-01,apache/cassandra,apache/cassandra,Apache Cassandra,54.394187927246094,108.207
2025-05-01,apache/cassandra,apache/cassandra,Apache Cassandra,46.74881362915039,108.054
2025-06-01,apache/cassandra,apache/cassandra,Apache Cassandra,33.77362823486328,108.271
2025-07-01,apache/cassandra,apache/cassandra,Apache Cassandra,32.955928802490234,108.757
2025-08-01,apache/cassandra,apache/cassandra,Apache Cassandra,42.80636596679688,108.512
2025-09-01,apache/cassandra,apache/cassandra,Apache Cassandra,41.07016754150391,106.981
2024-10-01,apache/couchdb,apache/couchdb,CouchDB,20.98615837097168,7.534
2024-11-01,apache/couchdb,apache/couchdb,CouchDB,17.90456199645996,7.64
2024-12-01,apache/couchdb,apache/couchdb,CouchDB,19.43376922607422,7.7
2025-01-01,apache/couchdb,apache/couchdb,CouchDB,21.4918270111084,7.78
2025-02-01,apache/couchdb,apache/couchdb,CouchDB,17.831493377685547,7.812
