,repo_id,actor_count,year_month,community
0,65711522,15,2016-11,Paddle
7,65711522,39,2016-12,Paddle
10,65711522,24,2017-01,Paddle
12,65711522,17,2017-02,Paddle
15,65711522,21,2017-03,Paddle
17,88868842,1,2017-04,models
22,65711522,20,2017-04,Paddle
26,88868842,15,2017-05,models
27,65711522,29,2017-05,Paddle
31,88868842,11,2017-06,models
32,65711522,29,2017-06,Paddle
38,88868842,11,2017-07,models
39,65711522,27,2017-07,Paddle
47,88868842,8,2017-08,models
49,65711522,30,2017-08,Paddle
56,88868842,16,2017-09,models
57,65711522,41,2017-09,Paddle
67,88868842,8,2017-10,models
68,65711522,39,2017-10,Paddle
78,88868842,16,2017-11,models
79,65711522,47,2017-11,Paddle
91,88868842,9,2017-12,models
92,65711522,43,2017-12,Paddle
104,88868842,18,2018-01,models
105,65711522,45,2018-01,Paddle
112,88868842,16,2018-02,models
113,65711522,40,2018-02,Paddle
122,88868842,25,2018-03,models
123,65711522,59,2018-03,Paddle
138,88868842,33,2018-04,models
139,65711522,57,2018-04,Paddle
155,88868842,22,2018-05,models
156,65711522,58,2018-05,Paddle
171,88868842,23,2018-06,models
172,65711522,52,2018-06,Paddle
184,88868842,19,2018-07,models
185,65711522,44,2018-07,Paddle
200,88868842,21,2018-08,models
201,65711522,41,2018-08,Paddle
213,88868842,24,2018-09,models
214,65711522,48,2018-09,Paddle
224,88868842,26,2018-10,models
225,65711522,45,2018-10,Paddle
238,88868842,24,2018-11,models
240,65711522,50,2018-11,Paddle
254,88868842,24,2018-12,models
255,65711522,60,2018-12,Paddle
268,88868842,30,2019-01,models
269,65711522,56,2019-01,Paddle
281,88868842,21,2019-02,models
282,65711522,59,2019-02,Paddle
295,88868842,30,2019-03,models
296,65711522,62,2019-03,Paddle
307,162672577,3,2019-04,PaddleHub
314,88868842,42,2019-04,models
315,65711522,70,2019-04,Paddle
325,162672577,3,2019-05,PaddleHub
332,88868842,48,2019-05,models
333,65711522,80,2019-05,Paddle
348,162672577,4,2019-06,PaddleHub
354,88868842,54,2019-06,models
355,65711522,86,2019-06,Paddle
362,162672577,3,2019-07,PaddleHub
373,88868842,54,2019-07,models
374,65711522,89,2019-07,Paddle
380,162672577,3,2019-08,PaddleHub
386,204380779,7,2019-08,PaddleSeg
392,88868842,47,2019-08,models
393,65711522,89,2019-08,Paddle
403,162672577,6,2019-09,PaddleHub
405,204380779,7,2019-09,PaddleSeg
410,88868842,57,2019-09,models
412,65711522,91,2019-09,Paddle
423,217475193,3,2019-10,PaddleDetection
428,162672577,5,2019-10,PaddleHub
431,204380779,8,2019-10,PaddleSeg
434,88868842,47,2019-10,models
436,65711522,97,2019-10,Paddle
452,162672577,5,2019-11,PaddleHub
454,204380779,9,2019-11,PaddleSeg
455,217475193,10,2019-11,PaddleDetection
458,88868842,43,2019-11,models
459,65711522,79,2019-11,Paddle
477,228290594,5,2019-12,PaddleSlim
481,204380779,7,2019-12,PaddleSeg
482,162672577,9,2019-12,PaddleHub
484,217475193,14,2019-12,PaddleDetection
487,88868842,47,2019-12,models
488,65711522,90,2019-12,Paddle
508,204380779,5,2020-01,PaddleSeg
511,162672577,7,2020-01,PaddleHub
512,228290594,11,2020-01,PaddleSlim
513,217475193,11,2020-01,PaddleDetection
516,88868842,41,2020-01,models
517,65711522,82,2020-01,Paddle
536,204380779,4,2020-02,PaddleSeg
539,162672577,8,2020-02,PaddleHub
540,228290594,8,2020-02,PaddleSlim
542,217475193,11,2020-02,PaddleDetection
545,88868842,42,2020-02,models
547,65711522,81,2020-02,Paddle
570,204380779,5,2020-03,PaddleSeg
574,228290594,7,2020-03,PaddleSlim
575,162672577,10,2020-03,PaddleHub
577,217475193,12,2020-03,PaddleDetection
580,88868842,40,2020-03,models
581,65711522,87,2020-03,Paddle
599,204380779,3,2020-04,PaddleSeg
608,162672577,7,2020-04,PaddleHub
