,repo_id,forks,year_month,community
0,65711522,41,2016-11,Paddle
6,65711522,88,2016-12,Paddle
14,65711522,80,2017-01,Paddle
22,65711522,83,2017-02,Paddle
25,65711522,70,2017-03,Paddle
29,65711522,63,2017-04,Paddle
31,88868842,6,2017-04,models
39,65711522,64,2017-05,Paddle
41,88868842,15,2017-05,models
47,65711522,36,2017-06,Paddle
49,88868842,10,2017-06,models
54,65711522,77,2017-07,Paddle
56,88868842,12,2017-07,models
68,65711522,41,2017-08,Paddle
70,88868842,13,2017-08,models
80,65711522,81,2017-09,Paddle
82,88868842,25,2017-09,models
93,65711522,45,2017-10,Paddle
95,88868842,8,2017-10,models
106,65711522,63,2017-11,Paddle
108,88868842,12,2017-11,models
121,65711522,75,2017-12,Paddle
124,88868842,14,2017-12,models
138,65711522,83,2018-01,Paddle
140,88868842,24,2018-01,models
154,65711522,39,2018-02,Paddle
155,88868842,17,2018-02,models
164,65711522,87,2018-03,Paddle
165,88868842,23,2018-03,models
179,65711522,80,2018-04,Paddle
180,88868842,35,2018-04,models
197,65711522,74,2018-05,Paddle
199,88868842,34,2018-05,models
216,65711522,50,2018-06,Paddle
217,88868842,28,2018-06,models
236,65711522,61,2018-07,Paddle
237,88868842,47,2018-07,models
255,65711522,54,2018-08,Paddle
256,88868842,25,2018-08,models
281,65711522,32,2018-09,Paddle
282,88868842,27,2018-09,models
300,65711522,35,2018-10,Paddle
302,88868842,19,2018-10,models
319,65711522,55,2018-11,Paddle
320,88868842,30,2018-11,models
341,65711522,37,2018-12,Paddle
342,88868842,34,2018-12,models
362,162672577,0,2018-12,PaddleHub
364,65711522,53,2019-01,Paddle
365,88868842,47,2019-01,models
378,162672577,0,2019-01,PaddleHub
382,65711522,39,2019-02,Paddle
383,88868842,28,2019-02,models
405,162672577,0,2019-02,PaddleHub
412,88868842,86,2019-03,models
413,65711522,64,2019-03,Paddle
434,162672577,0,2019-03,PaddleHub
437,88868842,127,2019-04,models
438,65711522,82,2019-04,Paddle
442,162672577,12,2019-04,PaddleHub
465,88868842,146,2019-05,models
466,65711522,116,2019-05,Paddle
476,162672577,4,2019-05,PaddleHub
490,88868842,141,2019-06,models
491,65711522,73,2019-06,Paddle
495,162672577,18,2019-06,PaddleHub
516,88868842,207,2019-07,models
517,65711522,125,2019-07,Paddle
521,162672577,35,2019-07,PaddleHub
545,88868842,198,2019-08,models
548,65711522,88,2019-08,Paddle
551,162672577,18,2019-08,PaddleHub
555,204380779,9,2019-08,PaddleSeg
580,88868842,148,2019-09,models
581,65711522,67,2019-09,Paddle
584,204380779,40,2019-09,PaddleSeg
586,162672577,25,2019-09,PaddleHub
610,88868842,147,2019-10,models
611,65711522,64,2019-10,Paddle
615,162672577,13,2019-10,PaddleHub
619,217475193,9,2019-10,PaddleDetection
620,204380779,5,2019-10,PaddleSeg
639,88868842,139,2019-11,models
640,65711522,50,2019-11,Paddle
643,204380779,23,2019-11,PaddleSeg
646,217475193,21,2019-11,PaddleDetection
649,162672577,9,2019-11,PaddleHub
673,88868842,131,2019-12,models
674,65711522,75,2019-12,Paddle
678,204380779,23,2019-12,PaddleSeg
681,217475193,20,2019-12,PaddleDetection
682,162672577,13,2019-12,PaddleHub
683,228290594,8,2019-12,PaddleSlim
720,88868842,91,2020-01,models
721,65711522,38,2020-01,Paddle
724,217475193,15,2020-01,PaddleDetection
727,204380779,9,2020-01,PaddleSeg
730,228290594,7,2020-01,PaddleSlim
733,162672577,4,2020-01,PaddleHub
754,88868842,92,2020-02,models
755,65711522,40,2020-02,Paddle
757,162672577,34,2020-02,PaddleHub
761,217475193,14,2020-02,PaddleDetection
769,228290594,3,2020-02,PaddleSlim
782,204380779,1,2020-02,PaddleSeg
790,88868842,144,2020-03,models
791,65711522,68,2020-03,Paddle
792,217475193,43,2020-03,PaddleDetection
793,162672577,40,2020-03,PaddleHub
798,228290594,13,2020-03,PaddleSlim
799,204380779,12,2020-03,PaddleSeg
838,88868842,106,2020-04,models
839,162672577,78,2020-04,PaddleHub
840,65711522,76,2020-04,Paddle
841,217475193,33,2020-04,PaddleDetection
844,228290594,30,2020-04,PaddleSlim
850,204380779,11,2020-04,PaddleSeg
883,88868842,103,2020-05,models
884,65711522,75,2020-05,Paddle
885,262296122,57,2020-05,PaddleOCR
886,217475193,56,2020-05,PaddleDetection
891,162672577,27,2020-05,PaddleHub
893,204380779,22,2020-05,PaddleSeg
897,228290594,16,2020-05,PaddleSlim
930,262296122,101,2020-06,PaddleOCR
931,88868842,74,2020-06,models
932,65711522,54,2020-06,Paddle
933,217475193,44,2020-06,PaddleDetection
936,162672577,29,2020-06,PaddleHub
942,204380779,16,2020-06,PaddleSeg
946,228290594,9,2020-06,PaddleSlim
961,273214029,2,2020-06,PaddleGAN
985,262296122,261,2020-07,PaddleOCR
986,65711522,73,2020-07,Paddle
987,88868842,65,2020-07,models
988,217475193,54,2020-07,PaddleDetection
992,162672577,25,2020-07,PaddleHub
1002,228290594,8,2020-07,PaddleSlim
1003,204380779,8,2020-07,PaddleSeg
1015,273214029,2,2020-07,PaddleGAN
1031,262296122,127,2020-08,PaddleOCR
1032,65711522,86,2020-08,Paddle
1033,217475193,81,2020-08,PaddleDetection
1034,88868842,74,2020-08,models
1035,162672577,31,2020-08,PaddleHub
1043,204380779,13,2020-08,PaddleSeg
1049,228290594,10,2020-08,PaddleSlim
1061,273214029,4,2020-08,PaddleGAN
1078,262296122,226,2020-09,PaddleOCR
1079,217475193,91,2020-09,PaddleDetection
