,repo_id,count,year,community
10,65711522,4130,2016,Paddle
40,88868842,3946,2017,models
42,65711522,41243,2017,Paddle
49,162672577,3,2018,PaddleHub
77,88868842,5228,2018,models
78,65711522,44086,2018,Paddle
111,228290594,171,2019,PaddleSlim
122,217475193,1049,2019,PaddleDetection
124,204380779,1177,2019,PaddleSeg
129,162672577,2993,2019,PaddleHub
133,88868842,16325,2019,models
134,65711522,40926,2019,Paddle
185,273214029,1869,2020,PaddleGAN
189,228290594,3346,2020,PaddleSlim
193,204380779,4698,2020,PaddleSeg
195,88868842,8302,2020,models
197,162672577,10225,2020,PaddleHub
199,217475193,14038,2020,PaddleDetection
200,262296122,19224,2020,PaddleOCR
201,65711522,69333,2020,Paddle
259,228290594,2411,2021,PaddleSlim
266,88868842,3548,2021,models
271,162672577,7319,2021,PaddleHub
272,204380779,8297,2021,PaddleSeg
273,273214029,8754,2021,PaddleGAN
276,336274588,21483,2021,PaddleNLP
277,217475193,22157,2021,PaddleDetection
278,262296122,30673,2021,PaddleOCR
279,65711522,101927,2021,Paddle
348,88868842,2193,2022,models
351,273214029,2359,2022,PaddleGAN
358,228290594,4463,2022,PaddleSlim
360,162672577,6095,2022,PaddleHub
363,507861208,9455,2022,FastDeploy
365,204380779,12101,2022,PaddleSeg
368,217475193,19631,2022,PaddleDetection
369,336274588,26249,2022,PaddleNLP
370,262296122,30137,2022,PaddleOCR
371,65711522,117765,2022,Paddle
421,88868842,452,2023,models
436,228290594,1056,2023,PaddleSlim
439,273214029,1626,2023,PaddleGAN
441,162672577,2174,2023,PaddleHub
453,204380779,6644,2023,PaddleSeg
454,217475193,8295,2023,PaddleDetection
456,507861208,8858,2023,FastDeploy
458,262296122,23908,2023,PaddleOCR
459,336274588,30541,2023,PaddleNLP
460,65711522,102484,2023,Paddle
497,88868842,35,2024,models
513,162672577,254,2024,PaddleHub
520,273214029,567,2024,PaddleGAN
522,228290594,639,2024,PaddleSlim
524,204380779,846,2024,PaddleSeg
526,507861208,936,2024,FastDeploy
531,217475193,1486,2024,PaddleDetection
533,336274588,3746,2024,PaddleNLP
534,262296122,4772,2024,PaddleOCR
535,65711522,20796,2024,Paddle
