,repo_id,record_num,year_month,community
0,65711522,43,2016-11,Paddle
1,65711522,144,2016-12,Paddle
6,65711522,66,2017-01,Paddle
9,65711522,63,2017-02,Paddle
11,65711522,123,2017-03,Paddle
14,65711522,93,2017-04,Paddle
18,88868842,2,2017-04,models
21,65711522,130,2017-05,Paddle
23,88868842,12,2017-05,models
26,65711522,124,2017-06,Paddle
27,88868842,41,2017-06,models
31,65711522,178,2017-07,Paddle
33,88868842,19,2017-07,models
38,65711522,233,2017-08,Paddle
40,88868842,24,2017-08,models
47,65711522,240,2017-09,Paddle
48,88868842,60,2017-09,models
55,65711522,333,2017-10,Paddle
58,88868842,21,2017-10,models
65,65711522,321,2017-11,Paddle
67,88868842,52,2017-11,models
76,65711522,287,2017-12,Paddle
77,88868842,21,2017-12,models
88,65711522,328,2018-01,Paddle
90,88868842,24,2018-01,models
99,65711522,223,2018-02,Paddle
102,88868842,23,2018-02,models
107,65711522,247,2018-03,Paddle
108,88868842,39,2018-03,models
117,65711522,294,2018-04,Paddle
119,88868842,34,2018-04,models
131,65711522,289,2018-05,Paddle
133,88868842,24,2018-05,models
145,65711522,328,2018-06,Paddle
149,88868842,31,2018-06,models
161,65711522,220,2018-07,Paddle
165,88868842,23,2018-07,models
174,65711522,246,2018-08,Paddle
177,88868842,76,2018-08,models
187,65711522,317,2018-09,Paddle
189,88868842,67,2018-09,models
200,65711522,187,2018-10,Paddle
203,88868842,52,2018-10,models
209,65711522,225,2018-11,Paddle
212,88868842,34,2018-11,models
223,65711522,160,2018-12,Paddle
225,88868842,36,2018-12,models
236,65711522,190,2019-01,Paddle
237,88868842,54,2019-01,models
250,65711522,190,2019-02,Paddle
252,88868842,30,2019-02,models
261,65711522,252,2019-03,Paddle
262,88868842,61,2019-03,models
275,65711522,304,2019-04,Paddle
276,88868842,127,2019-04,models
280,162672577,23,2019-04,PaddleHub
293,65711522,265,2019-05,Paddle
294,88868842,69,2019-05,models
300,162672577,6,2019-05,PaddleHub
308,65711522,324,2019-06,Paddle
309,88868842,164,2019-06,models
313,162672577,13,2019-06,PaddleHub
330,88868842,197,2019-07,models
331,65711522,179,2019-07,Paddle
342,162672577,4,2019-07,PaddleHub
348,65711522,221,2019-08,Paddle
349,88868842,97,2019-08,models
358,162672577,11,2019-08,PaddleHub
361,204380779,8,2019-08,PaddleSeg
366,65711522,294,2019-09,Paddle
369,88868842,122,2019-09,models
372,204380779,26,2019-09,PaddleSeg
373,162672577,20,2019-09,PaddleHub
385,65711522,542,2019-10,Paddle
386,88868842,266,2019-10,models
392,204380779,14,2019-10,PaddleSeg
393,162672577,13,2019-10,PaddleHub
397,217475193,8,2019-10,PaddleDetection
408,65711522,246,2019-11,Paddle
410,88868842,76,2019-11,models
