,repo_id,stars,year_month,community
0,65711522,87,2016-11,Paddle
6,65711522,170,2016-12,Paddle
14,65711522,177,2017-01,Paddle
22,65711522,287,2017-02,Paddle
25,65711522,227,2017-03,Paddle
29,65711522,147,2017-04,Paddle
31,88868842,4,2017-04,models
39,65711522,146,2017-05,Paddle
41,88868842,6,2017-05,models
47,65711522,131,2017-06,Paddle
49,88868842,17,2017-06,models
54,65711522,250,2017-07,Paddle
56,88868842,15,2017-07,models
68,65711522,128,2017-08,Paddle
70,88868842,18,2017-08,models
80,65711522,226,2017-09,Paddle
82,88868842,19,2017-09,models
93,65711522,155,2017-10,Paddle
95,88868842,17,2017-10,models
106,65711522,259,2017-11,Paddle
109,88868842,27,2017-11,models
121,65711522,278,2017-12,Paddle
123,88868842,28,2017-12,models
138,65711522,235,2018-01,Paddle
141,88868842,35,2018-01,models
154,65711522,124,2018-02,Paddle
155,88868842,27,2018-02,models
164,65711522,180,2018-03,Paddle
167,88868842,29,2018-03,models
179,65711522,199,2018-04,Paddle
181,88868842,43,2018-04,models
197,65711522,175,2018-05,Paddle
203,88868842,37,2018-05,models
217,65711522,168,2018-06,Paddle
221,88868842,37,2018-06,models
236,65711522,216,2018-07,Paddle
239,88868842,59,2018-07,models
255,65711522,137,2018-08,Paddle
257,88868842,40,2018-08,models
281,65711522,124,2018-09,Paddle
282,88868842,45,2018-09,models
300,65711522,116,2018-10,Paddle
304,88868842,31,2018-10,models
319,65711522,174,2018-11,Paddle
320,88868842,62,2018-11,models
341,65711522,112,2018-12,Paddle
344,88868842,53,2018-12,models
360,162672577,0,2018-12,PaddleHub
365,65711522,163,2019-01,Paddle
368,88868842,59,2019-01,models
377,162672577,1,2019-01,PaddleHub
382,65711522,113,2019-02,Paddle
383,88868842,66,2019-02,models
399,162672577,0,2019-02,PaddleHub
412,65711522,233,2019-03,Paddle
413,88868842,178,2019-03,models
435,162672577,0,2019-03,PaddleHub
437,65711522,286,2019-04,Paddle
438,88868842,246,2019-04,models
442,162672577,50,2019-04,PaddleHub
465,88868842,333,2019-05,models
466,65711522,281,2019-05,Paddle
472,162672577,20,2019-05,PaddleHub
490,88868842,383,2019-06,models
491,65711522,285,2019-06,Paddle
495,162672577,55,2019-06,PaddleHub
516,88868842,582,2019-07,models
517,65711522,463,2019-07,Paddle
520,162672577,132,2019-07,PaddleHub
546,88868842,366,2019-08,models
547,65711522,313,2019-08,Paddle
550,204380779,49,2019-08,PaddleSeg
554,162672577,26,2019-08,PaddleHub
580,88868842,269,2019-09,models
582,65711522,203,2019-09,Paddle
583,204380779,173,2019-09,PaddleSeg
586,162672577,34,2019-09,PaddleHub
610,88868842,260,2019-10,models
611,65711522,197,2019-10,Paddle
617,204380779,22,2019-10,PaddleSeg
618,162672577,18,2019-10,PaddleHub
620,217475193,15,2019-10,PaddleDetection
639,88868842,407,2019-11,models
640,65711522,250,2019-11,Paddle
645,217475193,53,2019-11,PaddleDetection
648,162672577,30,2019-11,PaddleHub
650,204380779,23,2019-11,PaddleSeg
673,88868842,268,2019-12,models
674,65711522,236,2019-12,Paddle
676,217475193,66,2019-12,PaddleDetection
680,204380779,45,2019-12,PaddleSeg
681,162672577,33,2019-12,PaddleHub
688,228290594,10,2019-12,PaddleSlim
720,88868842,156,2020-01,models
721,65711522,150,2020-01,Paddle
725,162672577,29,2020-01,PaddleHub
726,217475193,27,2020-01,PaddleDetection
730,204380779,18,2020-01,PaddleSeg
731,228290594,9,2020-01,PaddleSlim
754,88868842,188,2020-02,models
755,65711522,128,2020-02,Paddle
756,162672577,89,2020-02,PaddleHub
759,217475193,48,2020-02,PaddleDetection
765,204380779,18,2020-02,PaddleSeg
767,228290594,11,2020-02,PaddleSlim
790,88868842,272,2020-03,models
791,65711522,264,2020-03,Paddle
792,228290594,120,2020-03,PaddleSlim
795,162672577,88,2020-03,PaddleHub
796,217475193,78,2020-03,PaddleDetection
799,204380779,35,2020-03,PaddleSeg
837,162672577,535,2020-04,PaddleHub
838,65711522,281,2020-04,Paddle
839,228290594,248,2020-04,PaddleSlim
840,88868842,223,2020-04,models
845,217475193,67,2020-04,PaddleDetection
855,204380779,20,2020-04,PaddleSeg
883,65711522,301,2020-05,Paddle
884,262296122,275,2020-05,PaddleOCR
885,217475193,239,2020-05,PaddleDetection
886,88868842,186,2020-05,models
889,162672577,129,2020-05,PaddleHub
892,204380779,71,2020-05,PaddleSeg
898,228290594,41,2020-05,PaddleSlim
930,262296122,428,2020-06,PaddleOCR
931,65711522,245,2020-06,Paddle
933,88868842,157,2020-06,models
936,162672577,98,2020-06,PaddleHub
937,217475193,81,2020-06,PaddleDetection
941,228290594,56,2020-06,PaddleSlim
949,204380779,30,2020-06,PaddleSeg
965,273214029,4,2020-06,PaddleGAN
985,262296122,1585,2020-07,PaddleOCR
986,65711522,530,2020-07,Paddle
987,217475193,175,2020-07,PaddleDetection
988,88868842,158,2020-07,models
991,162672577,104,2020-07,PaddleHub
1001,204380779,28,2020-07,PaddleSeg
1008,228290594,14,2020-07,PaddleSlim
1011,273214029,9,2020-07,PaddleGAN
1031,262296122,733,2020-08,PaddleOCR
1032,65711522,499,2020-08,Paddle
1033,217475193,309,2020-08,PaddleDetection
1034,162672577,227,2020-08,PaddleHub
1035,88868842,151,2020-08,models
1048,204380779,22,2020-08,PaddleSeg
1049,228290594,21,2020-08,PaddleSlim
1063,273214029,4,2020-08,PaddleGAN
1078,262296122,1193,2020-09,PaddleOCR
1079,217475193,970,2020-09,PaddleDetection
1080,65711522,338,2020-09,Paddle
1082,162672577,166,2020-09,PaddleHub
1085,88868842,123,2020-09,models
1089,228290594,71,2020-09,PaddleSlim
1095,204380779,29,2020-09,PaddleSeg
1103,273214029,10,2020-09,PaddleGAN
1128,262296122,1891,2020-10,PaddleOCR
1129,204380779,839,2020-10,PaddleSeg
1130,65711522,218,2020-10,Paddle
1132,162672577,155,2020-10,PaddleHub
1133,217475193,153,2020-10,PaddleDetection
1135,88868842,102,2020-10,models
1140,273214029,41,2020-10,PaddleGAN
1145,228290594,20,2020-10,PaddleSlim
1179,262296122,1163,2020-11,PaddleOCR
1181,65711522,260,2020-11,Paddle
1182,162672577,260,2020-11,PaddleHub
1184,88868842,137,2020-11,models
1185,217475193,127,2020-11,PaddleDetection
1188,273214029,72,2020-11,PaddleGAN
1190,204380779,64,2020-11,PaddleSeg
1197,228290594,30,2020-11,PaddleSlim
1235,162672577,2356,2020-12,PaddleHub
1236,262296122,1165,2020-12,PaddleOCR
1238,217475193,405,2020-12,PaddleDetection
1239,65711522,361,2020-12,Paddle
1240,273214029,313,2020-12,PaddleGAN
1242,204380779,169,2020-12,PaddleSeg
1243,88868842,162,2020-12,models
1260,228290594,16,2020-12,PaddleSlim
1289,262296122,2520,2021-01,PaddleOCR
1291,65711522,319,2021-01,Paddle
1293,162672577,224,2021-01,PaddleHub
1294,88868842,113,2021-01,models
1295,217475193,103,2021-01,PaddleDetection
1296,273214029,80,2021-01,PaddleGAN
1297,204380779,71,2021-01,PaddleSeg
1310,228290594,15,2021-01,PaddleSlim
1343,262296122,669,2021-02,PaddleOCR
1345,65711522,443,2021-02,Paddle
1346,336274588,191,2021-02,PaddleNLP
1347,273214029,132,2021-02,PaddleGAN
1348,162672577,119,2021-02,PaddleHub
1349,88868842,82,2021-02,models
1351,217475193,58,2021-02,PaddleDetection
1352,204380779,52,2021-02,PaddleSeg
1358,228290594,33,2021-02,PaddleSlim
1398,273214029,1857,2021-03,PaddleGAN
1399,262296122,400,2021-03,PaddleOCR
1400,65711522,378,2021-03,Paddle
1401,162672577,239,2021-03,PaddleHub
1402,204380779,230,2021-03,PaddleSeg
1403,217475193,109,2021-03,PaddleDetection
1404,88868842,102,2021-03,models
1407,336274588,79,2021-03,PaddleNLP
1421,228290594,28,2021-03,PaddleSlim
1456,273214029,1678,2021-04,PaddleGAN
1457,262296122,884,2021-04,PaddleOCR
1458,217475193,540,2021-04,PaddleDetection
1459,65711522,493,2021-04,Paddle
1460,162672577,166,2021-04,PaddleHub
1461,336274588,123,2021-04,PaddleNLP
1462,88868842,97,2021-04,models
1466,204380779,51,2021-04,PaddleSeg
1474,228290594,26,2021-04,PaddleSlim
1512,217475193,1186,2021-05,PaddleDetection
1513,65711522,502,2021-05,Paddle
1514,262296122,387,2021-05,PaddleOCR
1515,273214029,227,2021-05,PaddleGAN
1517,162672577,168,2021-05,PaddleHub
1519,88868842,79,2021-05,models
1522,336274588,67,2021-05,PaddleNLP
1526,204380779,52,2021-05,PaddleSeg
1535,228290594,15,2021-05,PaddleSlim
1567,336274588,5022,2021-06,PaddleNLP
1568,162672577,1593,2021-06,PaddleHub
1570,65711522,1423,2021-06,Paddle
1572,262296122,532,2021-06,PaddleOCR
1574,273214029,280,2021-06,PaddleGAN
1575,217475193,254,2021-06,PaddleDetection
1579,88868842,78,2021-06,models
1581,204380779,64,2021-06,PaddleSeg
1592,228290594,20,2021-06,PaddleSlim
1624,204380779,655,2021-07,PaddleSeg
1625,262296122,454,2021-07,PaddleOCR
1627,65711522,250,2021-07,Paddle
1628,336274588,239,2021-07,PaddleNLP
1630,162672577,180,2021-07,PaddleHub
1631,217475193,159,2021-07,PaddleDetection
1634,273214029,113,2021-07,PaddleGAN
1635,88868842,77,2021-07,models
1646,228290594,18,2021-07,PaddleSlim
1697,262296122,1316,2021-08,PaddleOCR
1698,273214029,410,2021-08,PaddleGAN
1699,204380779,357,2021-08,PaddleSeg
1700,65711522,245,2021-08,Paddle
1701,217475193,135,2021-08,PaddleDetection
1702,162672577,126,2021-08,PaddleHub
1703,336274588,115,2021-08,PaddleNLP
1709,88868842,56,2021-08,models
1721,228290594,15,2021-08,PaddleSlim
1751,262296122,1819,2021-09,PaddleOCR
1752,65711522,235,2021-09,Paddle
