,repo_id,stars,forks,year,community
7,65711522,257,129,2016,Paddle
29,88868842,151,115,2017,models
31,65711522,2411,778,2017,Paddle
58,88868842,498,343,2018,models
60,65711522,1960,687,2018,Paddle
86,228290594,10,8,2019,PaddleSlim
100,217475193,134,50,2019,PaddleDetection
104,204380779,312,100,2019,PaddleSeg
105,162672577,399,147,2019,PaddleHub
111,65711522,3023,896,2019,Paddle
113,88868842,3417,1545,2019,models
164,273214029,453,83,2020,PaddleGAN
168,228290594,657,128,2020,PaddleSlim
174,204380779,1343,196,2020,PaddleSeg
176,88868842,2015,955,2020,models
177,217475193,2679,596,2020,PaddleDetection
178,65711522,3575,786,2020,Paddle
179,162672577,4236,876,2020,PaddleHub
180,262296122,8433,1664,2020,PaddleOCR
236,228290594,225,77,2021,PaddleSlim
245,88868842,906,375,2021,models
251,204380779,2627,615,2021,PaddleSeg
253,162672577,3288,536,2021,PaddleHub
254,217475193,4251,985,2021,PaddleDetection
255,65711522,5055,1145,2021,Paddle
256,273214029,6004,787,2021,PaddleGAN
257,336274588,6611,831,2021,PaddleNLP
258,262296122,10570,2352,2021,PaddleOCR
330,228290594,441,142,2022,PaddleSlim
332,88868842,477,219,2022,models
339,273214029,1239,295,2022,PaddleGAN
340,507861208,1295,205,2022,FastDeploy
343,65711522,2497,862,2022,Paddle
344,204380779,2827,642,2022,PaddleSeg
346,217475193,3473,1041,2022,PaddleDetection
347,162672577,3623,491,2022,PaddleHub
348,336274588,4480,1187,2022,PaddleNLP
349,262296122,9351,2137,2022,PaddleOCR
415,88868842,216,49,2023,models
418,228290594,246,52,2023,PaddleSlim
429,273214029,1201,182,2023,PaddleGAN
430,507861208,1204,253,2023,FastDeploy
431,162672577,1605,207,2023,PaddleHub
432,204380779,1809,366,2023,PaddleSeg
433,65711522,2062,756,2023,Paddle
434,217475193,2543,518,2023,PaddleDetection
436,336274588,3891,900,2023,PaddleNLP
437,262296122,8223,1578,2023,PaddleOCR
483,88868842,21,3,2024,models
490,228290594,36,5,2024,PaddleSlim
502,507861208,146,14,2024,FastDeploy
503,273214029,163,21,2024,PaddleGAN
504,162672577,186,25,2024,PaddleHub
505,204380779,272,49,2024,PaddleSeg
506,217475193,354,68,2024,PaddleDetection
507,65711522,387,109,2024,Paddle
508,336274588,502,94,2024,PaddleNLP
510,262296122,2263,324,2024,PaddleOCR
